GuessWord,Max,Median,Average
cigar,1399,425.0,429.3974082073434
rebut,1696,486.0,479.47257019438445
sissy,1287,939.0,604.9572354211663
humph,1710,1121.0,974.1775377969763
awake,1099,561.0,495.76717062634987
blush,1353,654.0,581.0470842332613
focal,1347,552.0,506.1084233261339
evade,1041,585.0,498.53693304535636
naval,1259,694.0,611.8984881209503
serve,1240,546.0,396.28380129589635
heath,1447,389.0,485.3727861771058
dwarf,1541,633.0,640.1745140388769
model,1344,429.0,437.8557235421166
karma,1595,686.0,629.9844492440604
stink,1306,583.0,532.1200863930885
grade,1298,341.0,368.32483801295893
quiet,1409,414.0,427.607343412527
bench,1572,522.0,549.0730021598272
abate,1077,419.0,401.0717062634989
feign,1397,514.0,524.0051835853131
major,1677,532.0,559.6868250539957
death,1382,361.0,400.9978401727862
fresh,1522,455.0,472.36976241900646
crust,1300,429.0,411.9291576673866
stool,1257,529.0,476.5766738660907
colon,1364,654.0,551.910151187905
abase,1075,423.0,399.12656587473003
marry,1425,591.0,469.94384449244063
react,1448,294.0,320.0760259179266
batty,1358,672.0,533.822030237581
pride,1260,380.0,381.8246220302376
floss,1336,710.0,617.8630669546436
helix,1771,595.0,590.177969762419
croak,1478,407.0,446.7714902807775
staff,1540,646.0,647.8980561555076
paper,1425,402.0,472.8306695464363
unfed,1661,684.0,611.8453563714903
whelp,1490,601.0,628.6025917926565
trawl,1460,472.0,397.6099352051836
outdo,1639,726.0,706.4142548596112
adobe,1243,415.0,423.09200863930886
crazy,1299,509.0,457.2738660907127
sower,1291,337.0,375.31792656587476
repay,1550,417.0,413.482505399568
digit,1250,838.0,668.3261339092873
crate,1142,246.0,276.08596112311017
cluck,1572,961.0,785.8552915766738
spike,1162,443.0,426.2241900647948
mimic,1715,1147.0,960.8578833693305
pound,1238,666.0,560.9369330453563
maxim,1639,775.0,793.3343412526998
linen,1346,430.0,476.71792656587473
unmet,1183,492.0,462.466090712743
flesh,1578,491.0,505.47861771058314
booby,1303,1168.0,742.1131749460043
forth,1555,526.0,529.034989200864
first,1487,444.0,448.19092872570195
stand,1309,377.0,399.67775377969764
belly,1443,576.0,553.7732181425486
ivory,1558,480.0,533.4397408207343
seedy,1092,544.0,370.80172786177104
print,1337,410.0,396.1861771058315
yearn,1299,333.0,353.1408207343413
drain,1353,363.0,374.49200863930884
bribe,1356,471.0,458.1866090712743
stout,1347,663.0,524.4526997840172
panel,1311,331.0,349.83498920086396
crass,1211,461.0,447.40388768898487
flume,1454,506.0,498.26177105831533
offal,1820,922.0,757.6302375809935
agree,1086,408.0,362.482505399568
error,1355,554.0,557.2686825053996
swirl,1196,358.0,409.3041036717063
argue,1217,322.0,353.5723542116631
bleed,1438,653.0,483.15896328293735
delta,1514,431.0,424.1883369330454
flick,1521,792.0,671.341252699784
totem,1211,447.0,463.16803455723544
wooer,1312,514.0,482.52397408207344
front,1432,454.0,426.5930885529158
shrub,1658,549.0,564.2539956803456
parry,1248,574.0,446.8423326133909
biome,1012,333.0,377.2738660907127
lapel,1337,427.0,460.7218142548596
start,1286,430.0,412.34686825053996
